"Категория","Предмет","Оборачиваемость дни","Доступность товара для клиента"
"Здоровье","Средства от педикулеза","47","Дефицит товара"
"Товары для животных","Игрушки для животных","34","Дефицит товара"
"Профессиональные музыкальные инструменты","Пианино цифровое","1","Дефицит товара"
"Рукоделие","Ткань вышитая","40","Дефицит товара"
"Дом","Футляры для спичек","25","Дефицит товара"
"Игрушки","Сухие бассейны","10","Дефицит товара"
"Автомобильные товары","Насосы топливные","22","Дефицит товара"
"Товары для взрослых","Эрекционные кольца","82","Нормальная доступность товара"
"Дом","Топоры сувенирные","60","Дефицит товара"
"Торговое оборудование","Выносные дисплеи","19","Дефицит товара"
"Посуда и инвентарь","Подставки для казана","26","Дефицит товара"
"Продукты","Голубцы","0","Дефицит товара"
"Электроника","Видеоувеличители","13","Дефицит товара"
"Красота","Духи","27","Дефицит товара"
"Канцелярские товары","Карандаши механические","46","Дефицит товара"
"Смартфоны и аксессуары","Чехлы-книжки для телефонов","20","Дефицит товара"
"Книжная продукция и диски","Ноты","49","Дефицит товара"
"Спортивный товар","Крепления велосипедного кресла","281","Избыток товара"
"Здоровье","Подгузники для взрослых","38","Дефицит товара"
"Аксессуары","Фиксаторы для очков","58","Дефицит товара"
"Садовая техника","Насадки пенной чистки","59","Дефицит товара"
"Товары для малышей","Комплекты в коляску","32","Дефицит товара"
"Бытовая техника","Стиральные машины ультразвуковые","14","Дефицит товара"
"Строительные материалы","Петли мебельные","19","Дефицит товара"
"Профессиональные музыкальные инструменты","Чехлы для музыкального оборудования","13","Дефицит товара"
"Спортивный товар","Колеса для йоги","34","Дефицит товара"
"Товары для животных","Бинты для животных","80","Нормальная доступность товара"
"Здоровье","Инвалидные коляски механические","3","Дефицит товара"
"Белье","Торсеты","128","Избыток товара"
"Красота","Растворы для разведения хны","43","Дефицит товара"
"Товары для малышей","Матрасы в коляску","82","Нормальная доступность товара"
"Техника для кухни","Ножи для мясорубок","23","Дефицит товара"
"Крупная бытовая техника","Плиты с духовкой","457","Избыток товара"
"Аксессуары","Маски для сна 18+","179","Избыток товара"
"Обувь","Туфли","72","Нормальная доступность товара"
"Фото и Видеотехника","Карты видеозахвата","15","Дефицит товара"
"Дом","Подковы сувенирные","27","Дефицит товара"
"Строительные инструменты","Долото","5","Дефицит товара"
"Спортивный товар","Амортизаторы задние","34","Дефицит товара"
"Сантехника","Заглушки для ванны и раковины","4","Дефицит товара"
"Красота","Тоники","47","Дефицит товара"
"Здоровье","Жилеты оздоровительные","13","Дефицит товара"
"Хозяйственные товары","Восстановители кожи","43","Дефицит товара"
"Канцелярские товары","Пинцеты для коллекционирования","48","Дефицит товара"
"Автомобильные товары","Стяжные ремни","46","Дефицит товара"
"Все для садоводства","Плитка садовая","130","Избыток товара"
"Строительные материалы","Очистители монтажной пены","3","Дефицит товара"
"Автоэлектроника","Навигаторы","8","Дефицит товара"
"Спортивный товар","Сэндбэги","59","Дефицит товара"
"Автомобильные товары","Подогреватели дизельного топлива","2","Дефицит товара"
"Мебель","Раскладушки","3","Дефицит товара"
"Канцелярские товары","Браслеты контрольные","16","Дефицит товара"
"Товары для отдыха и кемпинга","Скамейки","33","Дефицит товара"
"Продукты","Сиропы","40","Дефицит товара"
"Сантехника","Промывочные насосы для систем отопления","1","Дефицит товара"
"Спортивный товар","Намотки для ракеток","44","Дефицит товара"
"Строительные инструменты","Точильные станки","5","Дефицит товара"
"Техника для кухни","Аппараты для сахарной ваты","1","Дефицит товара"
"Мебель","Кресла оператора","8","Дефицит товара"
"Смартфоны и аксессуары","Мобильные телефоны","61","Нормальная доступность товара"
"Одежда","Пижамы","30","Дефицит товара"
"Канцелярские товары","Бумага художественная","47","Дефицит товара"
"Здоровье","Капли глазные","8","Дефицит товара"
"Строительные материалы","Покрытия резиновые","34","Дефицит товара"
"Смартфоны и аксессуары","Зарядные устройства","35","Дефицит товара"
"Посуда и инвентарь","Лопатки кухонные","43","Дефицит товара"
"Хозяйственные товары","Водосгоны","30","Дефицит товара"
"Мебель","Матрасы-топперы","8","Дефицит товара"
"Спортивный товар","Коврики для переобувания","5","Дефицит товара"
"Электроника","Скрепки для сим-карт","22","Дефицит товара"
"Дом","Канделябры","3","Дефицит товара"
"Спортивные аксессуары","Рукоятки для тренажеров","17","Дефицит товара"
"Красота","Точилки косметические","39","Дефицит товара"
"Все для садоводства","Дуги для парника","3","Дефицит товара"
"Одежда","Бриджи","100","Нормальная доступность товара"
"Красота","Отбеливающие карандаши для зубов","50","Дефицит товара"
"Продукты","Хлопья чечевичные","13","Дефицит товара"
"Посуда и инвентарь","Самовары","33","Дефицит товара"
"Мебель","Зеркала для прихожей","51","Дефицит товара"
"Строительные материалы","Саморезы в ленте","999","Избыток товара"
"Товары для курения","Жидкости для электронных сигарет","1","Дефицит товара"
"Сантехника","Трапы для душа","16","Дефицит товара"
"Товары для взрослых","Фаллопротезы","46","Дефицит товара"
"Продукты","Карамель жидкая","7","Дефицит товара"
"Канцелярские товары","Зажимы для бумаги","67","Нормальная доступность товара"
"Бытовая техника","Отбеливатели зубов","33","Дефицит товара"
"Сантехника","Комплектующие для радиаторов","12","Дефицит товара"
"Строительные материалы","Плитка керамическая","15","Дефицит товара"
"Товары для животных","Блоки подогрева и стерилизации воды для поилки","32","Дефицит товара"
"Посуда и инвентарь","Пилы для мяса","44","Дефицит товара"
"Товары для отдыха и кемпинга","Диваны надувные","29","Дефицит товара"
"Садовые инструменты","Фартуки садовые","57","Дефицит товара"
"Строительные материалы","Подложки для напольных покрытий","4","Дефицит товара"
"Спортивный товар","Маски для плавания","35","Дефицит товара"
"Товары для животных","Экспресс-тесты для животных","148","Избыток товара"
"Красота","Палетки косметические сменные","25","Дефицит товара"
"Спортивные аксессуары","Чехлы спортивные","44","Дефицит товара"
"Товары для животных","Мочесборники для животных","13","Дефицит товара"
"Строительные материалы","Бруски шлифовальные","10","Дефицит товара"
"Аксессуары","Зеркальца","44","Дефицит товара"
"Сантехника","Счетчики газа","16","Дефицит товара"
"Продукты","Крупа гороховая","61","Нормальная доступность товара"
"Товары для животных","Масла для животных","92","Нормальная доступность товара"
"Товары для отдыха и кемпинга","Мини-души","25","Дефицит товара"
"Строительные инструменты","Насадки на дрель","13","Дефицит товара"
"Красота","Зубные пасты","38","Дефицит товара"
"Автомобильные товары","Накладки для проема стеклоочистителей","27","Дефицит товара"
"Автомобильные товары","Регуляторы автомобильные","1","Дефицит товара"
"Посуда и инвентарь","Киперы для бутылок","42","Дефицит товара"
"Шторы и аксессуары","Жалюзи","18","Дефицит товара"
"Продукты","Энергетические напитки","42","Дефицит товара"
"Спортивный товар","Ножи метательные","22","Дефицит товара"
"Посуда и инвентарь","Утятницы","12","Дефицит товара"
"Крупная бытовая техника","Сплит-системы","999","Избыток товара"
"Бытовая техника","Электрощетки","9","Дефицит товара"
"Хозяйственные товары","Полотенца бумажные","22","Дефицит товара"
"Автомобильные товары","Комплектующие автомобильных фар","0","Дефицит товара"
"Хозяйственные товары","Губки хозяйственные","63","Нормальная доступность товара"
"Сантехника","Гарнитуры душевые","13","Дефицит товара"
"Канцелярские товары","Грамоты похвальные","49","Дефицит товара"
"Хозяйственные товары","Средства для мытья посуды","46","Дефицит товара"
"Здоровье","Отсасыватели хирургические","52","Дефицит товара"
"Красота","Прокладки для груди","53","Дефицит товара"
"Товары для взрослых","Платья эротик","60","Дефицит товара"
"Мебель","Кушетки","0","Дефицит товара"
"Товары для взрослых","Вагинальные шарики","60","Дефицит товара"
"Продукты","Клетчатка","26","Дефицит товара"
"Товары для курения","Машинки для самокруток","23","Дефицит товара"
"Спортивный товар","Пояса страховочные","37","Дефицит товара"
"Обувь","Эспадрильи","351","Избыток товара"
"Красота","Глиттеры","27","Дефицит товара"
"Продукты","Картофель","97","Нормальная доступность товара"
"Аксессуары","Чехлы для пультов","47","Дефицит товара"
"Для праздника","Подарочные коробки 18+","67","Нормальная доступность товара"
"Спортивный товар","Бинты быстрые","48","Дефицит товара"
"Красота","Сменные пакеты для туалета","63","Нормальная доступность товара"
"Профессиональные музыкальные инструменты","Ложки музыкальные","18","Дефицит товара"
"Телевизоры и аудиотехника","Амбушюры","22","Дефицит товара"
"Посуда и инвентарь","Пароварки для плиты","14","Дефицит товара"
"Продукты","Декор для выпечки","9","Дефицит товара"
"Автомобильные товары","Стартеры электрические","0","Дефицит товара"
"Посуда и инвентарь","Стаканы","22","Дефицит товара"
"Автомобильные товары","Шестерни привода масляных насосов","203","Избыток товара"
"Спортивный товар","Шайбы","18","Дефицит товара"
"Белье","Украшения для белья","1","Дефицит товара"
"Товары для животных","Загоны для животных","999","Избыток товара"
"Спортивный товар","Балансиры рыболовные","17","Дефицит товара"
"Ноутбуки и компьютеры","SSD-накопители","14","Дефицит товара"
"Строительные материалы","Изоляторы электрические","4","Дефицит товара"
"Здоровье","Устройства для подъема с кровати","28","Дефицит товара"
"Автомобильные товары","Лобовые стекла","999","Избыток товара"
"Бытовая техника","Пылесосы","25","Дефицит товара"
"Аксессуары","Футляры для зарядного кабеля","25","Дефицит товара"
"Сантехника","Счетчики воды","15","Дефицит товара"
"Спортивные аксессуары","Пояса разгрузочные","11","Дефицит товара"
"Продукты","Мясо растительное","27","Дефицит товара"
"Строительные инструменты","Указатели правильности чередования фаз","0","Дефицит товара"
"Товары для отдыха и кемпинга","Шампуры","34","Дефицит товара"
"Автомобильные товары","Тормозные диски автомобильные","9","Дефицит товара"
"Бытовая техника","Помпы для стиральных машин","8","Дефицит товара"
"Садовые инструменты","Ножи садовые","108","Нормальная доступность товара"
"Строительные материалы","Бумага маскировочная","8","Дефицит товара"
"Спортивные аксессуары","Щетки для лыж","58","Дефицит товара"
"Посуда и инвентарь","Гастроемкости","14","Дефицит товара"
"Бытовая техника","ТЭНы для стиральных машин","7","Дефицит товара"
"Товары для отдыха и кемпинга","Аксессуары для банных печей","3","Дефицит товара"
"Спортивный товар","Аксессуары для бильярда","30","Дефицит товара"
"Сантехника","Ручки для смесителей","27","Дефицит товара"
"Белье","Термокомбинезоны","49","Дефицит товара"
"Спортивный товар","Шкурки для самокатов","52","Дефицит товара"
"Садовые инструменты","Вилки садовые","199","Избыток товара"
"Продукты","Лук","23","Дефицит товара"
"Посуда и инвентарь","Дыроколы для крышек","999","Избыток товара"
"Аксессуары","Чехлы для мини-кинотеатров","999","Избыток товара"
"Дом","Огнетушители","10","Дефицит товара"
"Детское питание","Пюре детские","60","Дефицит товара"
"Обувь","Сникеры","172","Избыток товара"
"Крупная бытовая техника","Стиральные машины активаторного типа","0","Дефицит товара"
"Автомобильные товары","Прокладки выхлопной трубы","6","Дефицит товара"
"Одежда для малышей","Леггинсы для малышей","122","Избыток товара"
"Все для садоводства","Сетки затеняющие","34","Дефицит товара"
"Товары для взрослых","Кляпы эротик","48","Дефицит товара"
"Бытовая техника","Термостаты комнатные","15","Дефицит товара"
"Посуда и инвентарь","Маркеры для бокалов","12","Дефицит товара"
"Спортивные аксессуары","Чехлы для сноубордов","24","Дефицит товара"
"Канцелярские товары","Клей","26","Дефицит товара"
"Строительные материалы","Профили для гипсокартона","0","Дефицит товара"
"Товары для отдыха и кемпинга","Дрова","10","Дефицит товара"
"Спортивный товар","Концевики велосипедные","248","Избыток товара"
"Канцелярские товары","Пеналы","75","Нормальная доступность товара"
"Строительные инструменты","Краскопульты","24","Дефицит товара"
"Строительные инструменты","Лебедки ручные","19","Дефицит товара"
"Строительные инструменты","Выколотки","3","Дефицит товара"
"Одежда для малышей","Водолазки для малышей","67","Нормальная доступность товара"
"Одежда для малышей","Топы для малышей","81","Нормальная доступность товара"
"Продукты","Макароны","36","Дефицит товара"
"Умный дом и безопасность","Ретрансляторы","14","Дефицит товара"
"Электроника","Компакт-кассеты","32","Дефицит товара"
"Строительные материалы","Клей монтажный","6","Дефицит товара"
"Автомобильные товары","Тросики рычагов","1","Дефицит товара"
"Профессиональные музыкальные инструменты","Гитары","0","Дефицит товара"
"Строительные материалы","Коннекторы шинопроводов","23","Дефицит товара"
"Рукоделие","Распарыватели","31","Дефицит товара"
"Сантехника","Парогенераторы для душевых кабин","80","Нормальная доступность товара"
"Аксессуары для волос","Резинки","73","Нормальная доступность товара"
"Товары для малышей","Пустышки","64","Нормальная доступность товара"
"Автомобильные товары","Датчики температуры включения вентилятора","33","Дефицит товара"
"Спортивный товар","Аксессуары для тяжелой атлетики","44","Дефицит товара"
"Дом","Запчасти для газовой колонки","8","Дефицит товара"
"Продукты","Прополис","27","Дефицит товара"
"Автомобильные товары","Стойки стабилизатора","31","Дефицит товара"
"Красота","Праймеры для ногтей","42","Дефицит товара"
"Дом","Крепления для гамаков","46","Дефицит товара"
"Строительные инструменты","Инструменты для зачистки проводов","17","Дефицит товара"
"Товары для животных","Лотки для животных","26","Дефицит товара"
"Здоровье","Пинцеты медицинские","53","Дефицит товара"
"Автомобильные товары","Бамперы для квадроциклов","999","Избыток товара"
"Спортивный товар","Круги для плавания","130","Избыток товара"
"Посуда и инвентарь","Вилки поварские","49","Дефицит товара"
"Головные уборы","Капоры","58","Дефицит товара"
"Спортивный товар","Якорные намотки","34","Дефицит товара"
"Белье","Комплекты белья","54","Дефицит товара"
"Игрушки","Кинетический песок","22","Дефицит товара"
"Здоровье","Шпатели медицинские","14","Дефицит товара"
"Спортивный товар","Краги для снегоходов","0","Дефицит товара"
"Товары для животных","Пудры для животных","36","Дефицит товара"
"Строительные инструменты","Круги полировальные","52","Дефицит товара"
"Спортивный товар","Велосипеды двухколесные","23","Дефицит товара"
"Строительные материалы","Замки оконные","80","Нормальная доступность товара"
"Строительные материалы","Известь","1","Дефицит товара"
"Автомобильные товары","Колодки автомобильные","23","Дефицит товара"
"Спортивные аксессуары","Перчатки сноубордические","57","Дефицит товара"
"Периферия и аксессуары","Клавиатуры","30","Дефицит товара"
"Строительные инструменты","Круглогубцы","13","Дефицит товара"
"Товары для курения","Подставки для сигар","80","Нормальная доступность товара"
"Продукты","Перга","21","Дефицит товара"
"Садовая техника","Запчасти для воздушных компрессоров","6","Дефицит товара"
"Обувь","Слипоны","182","Избыток товара"
"Строительные материалы","Заготовки ключей","18","Дефицит товара"
"Автомобильные товары","Средства для очистки рук","27","Дефицит товара"
"Дом","Чехлы одноразовые","3","Дефицит товара"
"Дом","Благовония","28","Дефицит товара"
"Продукты","Фрукты сублимированные","47","Дефицит товара"
"Электроника","Оксиметры","45","Дефицит товара"
"Строительные материалы","Смазки для откручивания","210","Избыток товара"
"Спортивный товар","Пули для пневматики","33","Дефицит товара"
"Красота","Шаблоны для моделирования ногтей","44","Дефицит товара"
"Телевизоры и аудиотехника","Виниловые проигрыватели","15","Дефицит товара"
"Спортивный товар","Подшипники","37","Дефицит товара"
"Игрушки","Роботы","22","Дефицит товара"
"Строительные материалы","Наполнители мебельные","1","Дефицит товара"
"Все для садоводства","Метки для рассады","34","Дефицит товара"
"Игрушки","Калейдоскопы","17","Дефицит товара"
"Детское питание","Соусы детские","134","Избыток товара"
"Техника для кухни","Мини-печи","13","Дефицит товара"
"Торговое оборудование","Кабины примерочные","11","Дефицит товара"
"Продукты","Свекла","30","Дефицит товара"
"Профессиональные музыкальные инструменты","Трубы","6","Дефицит товара"
"Товары для малышей","Переноски для детей","56","Дефицит товара"
"Спортивный товар","Грузила","52","Дефицит товара"
"Строительные инструменты","Гладилки штукатурные","27","Дефицит товара"
"Посуда и инвентарь","Чайники заварочные","15","Дефицит товара"
"Бытовая техника","Боксы для часов","11","Дефицит товара"
"Автомобильные товары","Рассухариватели клапанов","9","Дефицит товара"
"Товары для отдыха и кемпинга","Печи для казана","5","Дефицит товара"
"Спортивные аксессуары","Держатели для хранения удилищ","8","Дефицит товара"
"Строительные инструменты","Патроны токарные","0","Дефицит товара"
"Спортивные аксессуары","Средства для ухода за оружием","4","Дефицит товара"
"Красота","Средства для заживления татуировок","33","Дефицит товара"
"Мебель","Столы журнальные","11","Дефицит товара"
"Спортивные аксессуары","Груз для погружения","15","Дефицит товара"
"Спортивные аксессуары","Зарядные устройства для велосипедных фонарей","2","Дефицит товара"
"Игрушки","Игровые наборы","29","Дефицит товара"
"Строительные материалы","Виниловые полы","1","Дефицит товара"
"Спортивный товар","Степ-платформы","12","Дефицит товара"
"Все для садоводства","Опоры для растений","27","Дефицит товара"
"Строительные инструменты","Шаберы слесарные","999","Избыток товара"
"Дом","Платы для светильников","19","Дефицит товара"
"Товары для курения","Калауды","31","Дефицит товара"
"Красота","Блески","28","Дефицит товара"
"Хозяйственные товары","Пакеты пищевые","40","Дефицит товара"
"Продукты","Крупы бобовые","33","Дефицит товара"
"Продукты","Черная смородина","6","Дефицит товара"
"Здоровье","Носки ортопедические","42","Дефицит товара"
"Канцелярские товары","Резаки для бумаги","49","Дефицит товара"
"Аксессуары","Чехлы для DJ оборудования","32","Дефицит товара"
"Аксессуары для малышей","Береты для малышей","544","Избыток товара"
"Красота","Кондиционеры для волос","54","Дефицит товара"
"Товары для малышей","Корректоры осанки при письме","68","Нормальная доступность товара"
"Спортивный товар","Гарпуны","191","Избыток товара"
"Автоэлектроника","Сигнализации автомобильные","8","Дефицит товара"
"Одежда для малышей","Костюмы для малышей","51","Дефицит товара"
"Рукоделие","Краски аэрозольные","19","Дефицит товара"
"Товары для животных","Мази лечебные для животных","5","Дефицит товара"
"Спортивный товар","Колобашки для плавания","88","Нормальная доступность товара"
"Красота","Средства для удаления кутикулы","34","Дефицит товара"
"Спортивный товар","Свистки","50","Дефицит товара"
"Крупная бытовая техника","Холодильники","92","Нормальная доступность товара"
"Товары для малышей","Поильники","45","Дефицит товара"
"Автоэлектроника","Автомобильные зарядные устройства","40","Дефицит товара"
"Рукоделие","Картины по номерам","23","Дефицит товара"
"Ноутбуки и компьютеры","Ноутбуки","71","Нормальная доступность товара"
"Спортивное питание и косметика","Чипсы протеиновые","6","Дефицит товара"
"Автомобильные товары","Эмблемы для авто","71","Нормальная доступность товара"
"Спортивный товар","Полотенца спортивные","40","Дефицит товара"
"Обувь","Пантолеты","291","Избыток товара"
"Дом","Ковры","5","Дефицит товара"
"Спортивный товар","Садху-доски","13","Дефицит товара"
"Фото и Видеотехника","Крепления для камер","33","Дефицит товара"
"Спортивные аксессуары","Средства по уходу за пилоном","70","Нормальная доступность товара"
"Товары для животных","Растения для аквариума","58","Дефицит товара"
"Автомобильные товары","Фонари освещения номерного знака","13","Дефицит товара"
"Здоровье","Наборы хирургические","11","Дефицит товара"
"Товары для животных","Таблетки для животных","3","Дефицит товара"
"Бытовая техника","Насадки для утюгов","28","Дефицит товара"
"Здоровье","Пояса согревающие","43","Дефицит товара"
"Товары для отдыха и кемпинга","Кресла и пуфы надувные","12","Дефицит товара"
"Канцелярские товары","Стикеры","37","Дефицит товара"
"Бытовая техника","Машинки для стрижки волос","24","Дефицит товара"
"Товары для малышей","Детские аптечки","48","Дефицит товара"
"Садовые инструменты","Серпы","6","Дефицит товара"
"Строительные инструменты","Монтировки","6","Дефицит товара"
"Спортивный товар","Компрессы спортивные","78","Нормальная доступность товара"
"Спецодежда и СИЗы","Щитки защитные лицевые","41","Дефицит товара"
"Товары для животных","Кормушки для животных","16","Дефицит товара"
"Товары для животных","Стеки и плети для животных","2","Дефицит товара"
"Канцелярские товары","Маркировочные ленты","1","Дефицит товара"
"Здоровье","Шприц-пистолеты Калашникова","4","Дефицит товара"
"Продукты","Персики","8","Дефицит товара"
"Дом","Постеры в рамах","23","Дефицит товара"
"Канцелярские товары","Нити для прошивки документов","32","Дефицит товара"
"Мебель","Тумбы офисные","11","Дефицит товара"
"Спортивный товар","Шведские стенки","3","Дефицит товара"
"Товары для взрослых","Средства для очистки секс-игрушек","59","Дефицит товара"
"Товары для взрослых","Запчасти для секс машины","21","Дефицит товара"
"Белье","Косточки для бюстгальтера","82","Нормальная доступность товара"
"Товары для малышей","Чехлы для детских автокресел","168","Избыток товара"
"Аксессуары для обуви","Кремы для обуви","30","Дефицит товара"
"Красота","Кисти-сметки парикмахерские","34","Дефицит товара"
"Здоровье","Комбидрессы послеоперационные","224","Избыток товара"
"Все для садоводства","Коннекторы садовые","207","Избыток товара"
"Красота","Праймеры для ресниц","34","Дефицит товара"
"Смартфоны и аксессуары","Чехлы для телефонов","49","Дефицит товара"
"Аксессуары для волос","Заколки-бананы","62","Нормальная доступность товара"
"Бытовая техника","Приточные установки","12","Дефицит товара"
"Рукоделие","Иглы для швейных машин","36","Дефицит товара"
"Периферия и аксессуары","Графические планшеты","10","Дефицит товара"
"Строительные инструменты","Протяжки для кабеля","19","Дефицит товара"
"Садовые инструменты","Кусторезы механические","24","Дефицит товара"
"Хозяйственные товары","Фильтры для воды","24","Дефицит товара"
"Электроника","Ванны ультразвуковые","7","Дефицит товара"
"Электроника","Металлоискатели","27","Дефицит товара"
"Автомобильные товары","Датчики уровня воды","0","Дефицит товара"
"Товары для животных","Грызаки для собак","60","Дефицит товара"
"Спортивный товар","Замки велосипедные","90","Нормальная доступность товара"
"Продукты","Ягоды сублимированные","22","Дефицит товара"
"Хозяйственные товары","Туалетная бумага","34","Дефицит товара"
"Красота","Густое мыло","44","Дефицит товара"
"Спортивный товар","Ролики","35","Дефицит товара"
"Для праздника","Кубки подарочные","17","Дефицит товара"
"Спортивные аксессуары","Пружины для шейкера","89","Нормальная доступность товара"
"Автомобильные товары","Фильтры частичные","999","Избыток товара"
"Спортивные аксессуары","Поводья","77","Нормальная доступность товара"
"Спортивный товар","Спицы велосипедные","6","Дефицит товара"
"Красота","Футляры для зубных щеток","67","Нормальная доступность товара"
"Товары для взрослых","Комбинезоны эротик","72","Нормальная доступность товара"
"Головные уборы","Бейсболки","140","Избыток товара"
"Спортивный товар","Беговые дорожки","0","Дефицит товара"
"Автомобильные товары","Ролики натяжителя","6","Дефицит товара"
"Товары для малышей","Ленты для конверта новорожденного","111","Нормальная доступность товара"
"Продукты","Квас","37","Дефицит товара"
"Аксессуары для обуви","Спреи для обуви","20","Дефицит товара"
"Продукты","Хворост","10","Дефицит товара"
"Электроника","Поисковые устройства","55","Дефицит товара"
"Товары для животных","Когтеточки","22","Дефицит товара"
"Хозяйственные товары","Средства для прочистки труб","52","Дефицит товара"
"Строительные инструменты","Гайколомы","6","Дефицит товара"
"Спортивный товар","Ледорубы спортивные","1","Дефицит товара"
"Шторы и аксессуары","Ленты для штор","26","Дефицит товара"
"Строительные материалы","Отливы для окон","3","Дефицит товара"
"Товары для отдыха и кемпинга","Диваны-шезлонги","19","Дефицит товара"
"Сантехника","Крепежи с ленточным хомутом","34","Дефицит товара"
"Дом","Карманы на кровать","70","Нормальная доступность товара"
"Спортивный товар","Весла","36","Дефицит товара"
"Товары для отдыха и кемпинга","Зонты пляжные","201","Избыток товара"
"Автомобильные товары","Сцепления в сборе","5","Дефицит товара"
"Канцелярские товары","Краски для рисования","38","Дефицит товара"
"Строительные инструменты","Преднагреватели плат","0","Дефицит товара"
"Красота","Пасты для шугаринга","48","Дефицит товара"
"Спортивный товар","Шары для бильярда","18","Дефицит товара"
"Продукты","Крупа манная","28","Дефицит товара"
"Все для садоводства","Вазоны","41","Дефицит товара"
"Спортивный товар","Инструменты для заточки","25","Дефицит товара"
"Товары для животных","Подсветки для рулеток","75","Нормальная доступность товара"
"Бытовая техника","Аксессуары для паровых станций","50","Дефицит товара"
"Аксессуары","Сменные ножки для игровой мыши","1","Дефицит товара"
"Спортивные аксессуары","Ручки для лыжных палок","37","Дефицит товара"
"Спортивные аксессуары","Намотчики для лески","67","Нормальная доступность товара"
"Продукты","Клубника","21","Дефицит товара"
"Спортивный товар","Подседельные штыри","20","Дефицит товара"
"Товары для малышей","Наколенники детские","115","Нормальная доступность товара"
"Продукты","Рахат-лукум","58","Дефицит товара"
"Аксессуары для обуви","Зажимы для шнурков","100","Нормальная доступность товара"
"Бытовая техника","Аппараты для физиотерапии","10","Дефицит товара"
"Продукты","Наборы для глинтвейна","7","Дефицит товара"
"Игрушки","Мобили","56","Дефицит товара"
"Умный дом и безопасность","Умные светильники","19","Дефицит товара"
"Одежда для малышей","Жакеты для малышей","141","Избыток товара"
"Товары для животных","Фиксаторы аквариумного фона","0","Дефицит товара"
"Рукоделие","Кожа для рукоделия","30","Дефицит товара"
"Одежда","Полупальто","156","Избыток товара"
"Аксессуары","Портфели","68","Нормальная доступность товара"
"Хозяйственные товары","Очистители для унитаза","32","Дефицит товара"
"Садовые инструменты","Наборы садовых инструментов","79","Нормальная доступность товара"
